,leaf_type,N_original,N_misordered,N_lost,N_recovered,N_final,perc_misordered,perc_lost,perc_recovered
0,Apple,9619,1,0,1,9619,0.0001,0.0,0.0001
1,Passiflora,3301,8,3,5,3298,0.0024,0.0009,0.0015
2,Ivy,865,0,0,0,865,0.0,0.0,0.0
3,Arabidopsis,2168,0,0,0,2168,0.0,0.0,0.0
4,Leafsnap,5733,4056,1168,2888,4565,0.7075,0.2037,0.5038
5,Grass,866,0,0,0,866,0.0,0.0,0.0
6,Potato,1840,0,0,0,1840,0.0,0.0,0.0
7,Alstroemeria,2392,0,0,0,2392,0.0,0.0,0.0
8,Cotton,2885,0,0,0,2885,0.0,0.0,0.0
9,Tomato_entire,672,0,0,0,672,0.0,0.0,0.0
10,Arabidopsis_asymmetry,2933,0,0,0,2933,0.0,0.0,0.0
11,Transect_Batch_1_W,3098,5,4,1,3094,0.0016,0.0013,0.0003
12,Transect_Batch_2_B,2714,0,0,0,2714,0.0,0.0,0.0
13,Viburnum_V1,985,0,0,0,985,0.0,0.0,0.0
14,Viburnum_V2,1437,0,0,0,1437,0.0,0.0,0.0
15,Tomato_asymmetry,1617,0,0,0,1617,0.0,0.0,0.0
16,Grape_Geneva_2016_Dan_Geneva_2016,1113,113,111,2,1002,0.1015,0.0997,0.0018
17,Grape_Geneva_2016_MF_Geneva_2016,1146,42,27,15,1119,0.0366,0.0236,0.0131
18,Grape_MtVernon_scans_2014_MtVernon_Scans,1122,0,0,0,1122,0.0,0.0,0.0
19,Grape_MtVernon_scans_2016_MtVernon_Scans,1140,0,0,0,1140,0.0,0.0,0.0
20,Grape_Geneva_2015_060815,1022,18,15,3,1007,0.0176,0.0147,0.0029
21,Grape_Geneva_2015_060915,938,45,34,11,904,0.048,0.0362,0.0117
22,Grape_Geneva_2015_061015,505,61,46,15,459,0.1208,0.0911,0.0297
23,Grape_Geneva_2013_Folder3_Danny,276,0,0,0,276,0.0,0.0,0.0
24,Grape_Geneva_2013_Folder8_Susan2,263,10,8,2,255,0.038,0.0304,0.0076
25,Grape_Geneva_2013_Folder12_Danny,346,75,64,11,282,0.2168,0.185,0.0318
26,Grape_Geneva_2013_Folder5_Susan,296,0,0,0,296,0.0,0.0,0.0
27,Grape_Geneva_2013_Folder6_Darren,305,0,0,0,305,0.0,0.0,0.0
28,Grape_Geneva_2013_Folder2_Tommy,245,12,11,1,234,0.049,0.0449,0.0041
29,Grape_Geneva_2013_Folder4_Quaneisha,326,0,0,0,326,0.0,0.0,0.0
30,Grape_Geneva_2013_Folder7_Jose2,306,1,1,0,305,0.0033,0.0033,0.0
31,Grape_Geneva_2013_Folder11_Darren2,289,48,42,6,247,0.1661,0.1453,0.0208
32,Grape_Geneva_2013_Folder10_Quaneisha2,206,12,10,2,196,0.0583,0.0485,0.0097
33,Grape_Geneva_2013_Folder1_Jose,250,6,5,1,245,0.024,0.02,0.004
34,Grape_Geneva_2013_Folder9_Tommy2,240,0,0,0,240,0.0,0.0,0.0
35,Grape_Domesticated_grape_GrapeMay29.2011,1895,1619,1619,0,276,0.8544,0.8544,0.0
36,Grape_Domesticated_grape_GrapeMay28.2011,1686,1484,1484,0,202,0.8802,0.8802,0.0
37,Grape_Domesticated_grape_GrapeMay31.2011,2128,2127,1805,322,323,0.9995,0.8482,0.1513
38,Grape_Domesticated_grape_GrapeMay30.2011,2237,2236,1882,354,355,0.9996,0.8413,0.1582
39,Grape_Domesticated_grape_GrapeJune1.2011,1841,1839,1578,261,263,0.9989,0.8571,0.1418
40,Brassica_napus,1673,0,0,0,1673,0.0,0.0,0.0
41,Brassica_rapa,159,0,0,0,159,0.0,0.0,0.0
42,Pepper,3277,0,0,0,3277,0.0,0.0,0.0
43,Tomato_chamber_C1,6326,0,0,0,6326,0.0,0.0,0.0
44,Tomato_chamber_C3,6198,0,0,0,6198,0.0,0.0,0.0
45,Tomato_chamber_C4,6200,0,0,0,6200,0.0,0.0,0.0
46,Tomato_chamber_C5,9259,0,0,0,9259,0.0,0.0,0.0
47,Tomato_chamber_C2,6056,0,0,0,6056,0.0,0.0,0.0
48,Tomato_field_F2,5628,0,0,0,5628,0.0,0.0,0.0
49,Tomato_field_F1,5646,0,0,0,5646,0.0,0.0,0.0
50,Tomato_wild_WB,5562,0,0,0,5562,0.0,0.0,0.0
51,Tomato_wild_WA,6060,0,0,0,6060,0.0,0.0,0.0
52,Tomato_BILs_B2,7857,0,0,0,7857,0.0,0.0,0.0
53,Tomato_BILs_B3,7434,0,0,0,7434,0.0,0.0,0.0
54,Tomato_BILs_B1,7519,0,0,0,7519,0.0,0.0,0.0
55,Coleus_Co1,6562,0,0,0,6562,0.0,0.0,0.0
56,Coleus_Co6,4292,0,0,0,4292,0.0,0.0,0.0
57,Coleus_Co3,5561,0,0,0,5561,0.0,0.0,0.0
58,Coleus_Co4,6311,0,0,0,6311,0.0,0.0,0.0
59,Coleus_Co5,6137,0,0,0,6137,0.0,0.0,0.0
60,Coleus_Co2,5744,0,0,0,5744,0.0,0.0,0.0
